sector,camera,ccd,cut,objid,eventid,xccd,yccd,snr_psf,psf_like,psf_stacked,frame_duration,variable,gaia_id,gaia_color,dx,dy
36,4,2,11,5,269,670,375,22.73176,0.9959139,1,11,1,5293015204788344576,1.053934,0.01444742,0.03039695
36,4,2,11,5,271,670,375,23.01025,0.9970919,1,11,1,5293015204788344576,1.053934,0.00725011,0.05931842
36,4,2,11,49,131,810,436,34.62423,0.9961866,1,11,1,5293245586834011904,1.223147,-0.01004232,-0.002746342
36,4,2,11,49,132,810,436,26.97331,0.9923602,1,10,1,5293245586834011904,1.223147,-0.03327719,-0.002743353
36,4,2,11,220,2,597,511,47.28979,0.9965327,0,8,0,5292870653369334656,3.111543,0.0231572,0.08862409
36,4,2,11,270,22,619,308,14.23885,0.9673516,1,19,0,5292251009847134464,0.721186,0.0188033,-0.02845364
36,4,2,11,525,2,598,511,25.5348,0.9965507,0,5,0,5292870653369334656,3.111543,0.07574579,0.09854636
36,4,2,11,553,2,720,465,6.121327,0.9907509,0,4,0,5292984624621149312,3.049725,-0.0203168,-0.009184303
36,4,2,11,634,1,793,456,7.664044,0.9855816,1,3,0,5293196138874782720,3.238448,-0.04049056,-0.09768804
36,4,2,11,721,1,600,290,8.714586,0.9845028,1,7,0,5292235204368184320,1.576591,-0.05254539,0.09649095
36,4,2,11,960,1,693,420,8.111381,0.9755351,1,7,0,5292974625937396224,1.808974,-0.124132,0.07384536
36,4,2,11,994,1,706,368,16.7583,0.9837672,0,7,0,5293068118785291520,3.321411,-0.02667444,-0.009348492
36,4,2,12,4,179,907,335,69.80413,0.9983628,1,12,1,5293373920456481792,0.995216,-0.03603162,0.01229927
36,4,2,12,4,191,907,335,60.3394,0.9992393,1,12,1,5293373920456481792,0.995216,-0.03344722,0.01599926
36,4,2,12,4,237,907,335,80.86647,0.9973443,1,13,1,5293373920456481792,0.995216,-0.05026467,-0.0004738137
36,4,2,12,143,40,1063,386,12.64635,0.9854859,1,3,1,5485717914774704768,2.73375,0.01409586,0.06618421
36,4,2,12,154,6,970,335,4.706201,0.9645678,0,2,0,5485549891356968192,2.154879,0.01154444,0.003429038
36,4,2,12,474,5,980,383,16.28695,0.9087344,0,5,0,5485502891531920640,1.458735,-0.05437229,-0.04826815
36,4,2,12,524,1,975,423,17.24719,0.9965199,1,5,1,5485498390406148736,3.222296,-0.01270572,0.0643083
36,4,2,12,935,1,989,316,12.07479,0.9459785,0,15,0,5485557386077278592,2.959299,0.02539771,0.04672148
36,4,2,13,5,159,1105,394,11.19961,0.9719702,1,14,1,5485781239773273728,0.619209,-0.0700816,-0.01302148
36,4,2,13,48,18,1276,383,167.9444,0.9990113,1,22,1,5486632674089049472,0.542938,-0.04208174,0.005989767
36,4,2,13,48,22,1276,383,192.4153,0.9997095,1,22,1,5486632674089049472,0.542938,-0.04207087,0.008437036
36,4,2,13,48,48,1276,383,200.2395,0.9994257,1,22,1,5486632674089049472,0.542938,-0.04205557,0.009619985
36,4,2,13,48,52,1276,383,210.7708,0.9997577,1,23,1,5486632674089049472,0.542938,-0.04206483,0.02057124
36,4,2,13,48,64,1276,383,164.443,0.9996089,1,22,1,5486632674089049472,0.542938,-0.0420602,0.01649152
36,4,2,13,207,7,1248,401,18.94422,0.9981508,1,18,1,5486626523695904640,0.61989,0.001963785,0.04013609
36,4,2,13,676,2,1174,445,6.638029,0.8744194,1,2,0,5486551683888641792,2.890004,0.02322201,0.1503633
36,4,2,14,725,1,1464,488,27.23729,0.9982025,0,6,0,5489919625444720768,2.903463,-0.02413229,0.03681287
36,4,2,14,1014,1,1557,429,5.58988,0.9633214,0,4,0,5490016214965233024,2.229209,-0.06949109,-0.01316244
36,4,2,14,1036,1,1441,285,10.55509,0.9859395,1,3,0,5487014994898479232,1.262258,0.001700813,0.003992121
36,4,2,15,49,121,1670,429,43.79647,0.9982117,1,17,1,5490280406993960576,0.736595,0.007536161,0.0142341
36,4,2,15,49,133,1670,429,49.51894,0.9984303,1,17,1,5490280406993960576,0.736595,0.007536161,0.03120543
36,4,2,15,451,1,1810,444,5.034482,0.9783587,1,9,0,5491101501662087040,2.558325,0.07816694,-0.003978774
36,4,2,15,489,16,1810,350,12.8895,0.9906406,1,3,0,5491082706884869376,1.056974,-0.05708826,-0.01838857
36,4,2,15,494,1,1589,319,15.67396,0.9945519,0,2,0,5490107268272843392,3.229781,-0.01814081,0.03260604
36,4,2,15,494,4,1589,319,49.86937,0.9995081,0,5,0,5490107268272843392,3.229781,0.005160633,0.04073442
36,4,2,15,507,1,1696,452,10.64331,0.9916442,0,5,0,5490274565838375168,1.908403,-0.0238118,0.08551549
36,4,2,15,547,1,1669,489,7.108882,0.9679438,1,10,0,5490270717547677440,1.223141,-0.02096592,0.07190634
36,4,2,16,1,99,1927,417,75.04046,0.9975355,1,22,1,5491353530342650240,0.826297,0.01111617,-0.0177347
36,4,2,16,1,100,1927,417,84.74543,0.9980876,1,23,1,5491353530342650240,0.826297,0.010274,-0.01080681
36,4,2,16,1,101,1927,417,76.12466,0.9981074,1,22,1,5491353530342650240,0.826297,0.0047963,-0.01501076
36,4,2,16,1,102,1927,417,84.49047,0.9984153,1,23,1,5491353530342650240,0.826297,0.002627469,-0.01352092
36,4,2,16,44,4,1941,443,14.90271,0.9913608,1,3,0,5491378819110042752,1.193874,-0.05095225,0.04625881
36,4,2,16,54,57,1981,378,26.33265,0.9978507,1,9,1,5491414484518479872,1.39202,0.009594787,-0.001371388
36,4,2,16,54,179,1981,378,21.11996,0.9931306,1,8,1,5491414484518479872,1.39202,0.01120486,-0.006398912
36,4,2,16,54,186,1981,378,22.25778,0.9866563,1,8,1,5491414484518479872,1.39202,-0.01583821,0.004435276
36,4,2,16,73,44,2078,485,36.32175,0.9972215,1,10,1,5503477570184245760,1.153509,0.06659089,0.001650241
36,4,2,16,73,46,2078,485,35.37801,0.998751,1,10,1,5503477570184245760,1.153509,0.03479814,0.001993551
36,4,2,16,73,48,2078,485,42.4714,0.9986328,1,10,1,5503477570184245760,1.153509,0.04823585,0.02022311
36,4,2,16,73,50,2078,485,41.9645,0.9971733,1,10,1,5503477570184245760,1.153509,0.06592289,0.02152809
36,4,2,16,73,132,2078,485,29.5917,0.9964188,1,9,1,5503477570184245760,1.153509,0.03201518,-0.01182786
36,4,2,16,73,139,2078,485,32.92337,0.9955301,1,9,1,5503477570184245760,1.153509,0.04502308,0.04146786
36,4,2,16,73,156,2078,485,30.63465,0.9953579,1,9,1,5503477570184245760,1.153509,0.03029794,0.01668091
36,4,2,16,775,2,1965,320,7.404236,0.9779719,1,2,0,5491455716205149824,2.905651,0.0286012,0.03571334
36,4,2,16,910,1,1910,348,13.64559,0.9909798,1,9,0,5491343188061655680,2.568354,-0.05491414,0.06041654
36,4,2,16,910,2,1911,348,5.015708,0.9250349,1,5,0,5491343188061655680,2.568354,0.05619687,-0.07895586
36,4,2,16,964,1,1974,454,5.566689,0.9552271,0,2,0,5491398777820855936,2.485421,0.041141,-0.0213218
36,4,2,16,964,2,1974,454,7.650289,0.9784049,0,8,0,5491398777820855936,2.485421,-0.08553753,-0.0213218
36,4,2,16,964,3,1974,454,13.64656,0.9940176,0,3,0,5491398777820855936,2.485421,0.01835274,0.07390671
36,4,2,16,1076,1,2066,288,3.166529,0.9353465,1,3,0,5491531651227374592,3.446784,-0.1642463,-0.06479908
36,4,2,16,1076,2,2066,288,21.46342,0.9955489,0,24,0,5491531651227374592,3.446784,-0.05313518,0.0201642
36,4,2,16,1349,1,2077,415,5.259138,0.9539209,1,3,0,5503457675895968512,2.207004,-0.08107382,-0.1223388
36,4,2,17,3,97,258,631,110.1034,0.9957748,1,21,1,5285717265079167360,0.717828,0.07347849,0.04293251
36,4,2,17,3,111,258,631,100.9784,0.9961557,1,21,1,5285717265079167360,0.717828,0.06436063,0.0429262
