objid,eventid,classification,sector,camera,ccd,cut,xcentroid,ycentroid,xcentroid_err,ycentroid_err,xint,yint,xccd,yccd,xcentroid_det,ycentroid_det,xcentroid_psf,ycentroid_psf,ra,dec,ra_err,dec_err,gal_l,gal_b,frame_start,frame_end,frame_max,frame_duration,mjd_start,mjd_end,mjd_max,mjd_duration,flux_max,mag_min,flux_sign,image_sig_max,lc_sig_max,lc_sig_med,lc_flat,snr_psf,psf_like,psf_diff,psf_stacked,com_motion,gaussian_score,ellipticity,fwhm,neg_extent,bad_frame_flag,known_asteroid_designation,known_asteroid_dist_px,known_asteroid_frame,source_mask,gaia_id,nearest_gaia_id,nearest_gaia_dx,nearest_gaia_dy,crossbin_ids,asteroid_id,n_detections,total_events,frame_bin,TSS Catalogue
1123,2,-,55,1,1,5,205.86289230423108,213.79474745535208,0.1125043256050359,0.1150068138435388,206,214,1269,214,206.06571841306464,214.0006050568842,205.86289230423108,213.79474745535208,323.29007033521054,15.951802419369084,0.0006420581245948,0.0006242317730505,68.78726495712304,-25.444588714305446,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,52.027866,-4.29059,1,6.142040197539225,16.389829635620117,15.618410110473633,1,21.07840095140884,0.8013795199770279,0.5404137367793053,1,0.1145037642794438,0.8746409178946786,0.5417691757685946,2.3477775563983414,2.3308629734834905,0,,,,9.0,-,1772044240077106944,1.0166833947230316,-0.5694038004421884,[],-1,2,2,1,TSS 213309.62+155706.49
1174,1,-,55,1,1,5,166.4999999972991,159.00422816815586,0.1367034986781602,0.1484474679677704,166,159,1229,159,166.68732474623843,159.12769406283152,166.4999999972991,159.00422816815586,323.4020777602007,16.30213930782459,0.0007841530733015,0.0007969554047519,69.15660531212883,-25.29312284672781,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,30.442924,-3.708716,1,4.832590833204182,11.616766929626465,10.426776885986328,1,11.408093838812674,0.816053237192226,1.9784693839389669,1,0.0825034288271049,0.4418490092588871,0.2777320751913172,1.5391585323626715,1.790375081502843,0,,,,8.0,-,1772060698391643520,0.0913734333400952,0.9433373053485354,[7403],-1,2,1,1,TSS 213336.50+161807.70T59820
93,1,-,55,1,1,6,192.77777777758905,98.2406386347146,0.120067752457291,0.1261139360772498,193,98,1512,98,192.65161195703467,98.2987707588922,192.77777777758905,98.2406386347146,321.70557499418084,16.110879139038715,0.0006871997840835,0.0006811476746628,67.8195578922814,-24.19038894057589,124,129,124,6,59797.47369731055,59797.50842046891,59797.47369731055,0.0347231583655229,27.101732,-3.5824928,1,4.562617245542072,17.376548767089844,8.531574249267578,1,14.836500097083984,0.9707839035247254,0.3230295580603452,0,0.2260097111761194,0.6526713882641402,0.4475880405420047,2.565793324139029,0.8153171973468055,0,,,,0.0,-,1784059698849472128,0.0135900803170443,-0.1690407721491453,[4572],-1,6,3,1,TSS 212649.34+160639.16
581,6,-,55,1,1,6,114.47750916531702,6.457824615275385,0.2009320388955152,0.2260958376761172,114,6,1433,6,114.35215043096362,6.355873764232036,114.47750916531702,6.457824615275385,321.9631614907371,16.71960592136445,0.001155962304605,0.0012021259979972,68.5014675736127,-23.980523413189932,2612,2650,2612,39,59822.41836712589,59822.68225439768,59822.41836712589,0.2638872717943741,220.28839,-5.857479,1,13.485927576463936,45.81198120117188,16.731204986572266,1,7.894079359884798,0.7611140459027244,0.7808490589808864,0,0.0770671060892538,0.3090436946145212,0.4926316634321985,3.2423402306421334,0.1616271114726307,0,,,,9.0,-,1784121786896483200,1.6480231803122931,-0.0897711446854963,[6737],-1,29,7,1,TSS 212751.16+164310.58
1106,1,-,55,1,1,9,31.99998863180594,25.421844444304156,0.2560985379470908,0.2887654874097649,32,25,76,276,32.08229679313614,25.11885800316293,31.99998863180594,25.421844444304156,329.9715882188846,17.529705214238135,0.0014143794203732,0.0014936930340901,75.04463361211577,-28.976964423243466,2550,2551,2550,2,59820.02254874372,59820.02949314824,59820.02254874372,0.0069444045220734,34.786007,-3.8535116,1,4.710960208934698,12.77730941772461,12.48231315612793,1,6.717522483333952,0.8243877957322691,2.528176044979941,1,0.2460277594069001,0.7954238201947946,0.6403756623396007,1.3804841452984946,1.5916322469711304,0,,,,0.0,-,1776056113193765632,0.5160392235205791,-0.3820772790759292,[4011],-1,2,2,1,TSS 215953.18+173146.94
135,1,-,55,1,1,11,224.94825004835772,252.08845769372795,0.1161352707501076,0.1204693007122713,225,252,776,503,224.76972086059172,252.1350834397809,224.94825004835772,252.08845769372795,326.5996768088972,15.294681221901063,0.0006595670309816,0.0006562576254605,70.64428843688007,-28.245704087896232,363,381,381,19,59799.13346092054,59799.25846382154,59799.25846382154,0.1250029010043363,22.023493,-3.3572154,1,3.179031815468454,12.83216381072998,5.083511829376221,1,16.858082390664055,0.847220866618372,0.5336212929763087,1,0.3799082596678594,0.5504398442816509,0.5571761062962961,2.5006928308112784,0.8188729882240295,0,,,,0.0,-,1772235035408375808,-0.548384375052251,0.0012729839397707,[2461],-1,17,2,1,TSS 214623.92+151740.85
220,1,-,55,1,1,11,196.33333333292964,104.98317916977638,0.1098814577270225,0.1106826674750166,196,105,747,356,196.4547325717528,104.9307555449309,196.33333333292964,104.98317916977638,326.4692932810013,16.10380491139844,0.0006193997938861,0.0005977344595286,71.2141145690937,-27.5999929599208,592,596,593,5,59800.72377388967,59800.75155225143,59800.73071848046,0.0277783617566456,128.3705,-5.271163,1,10.547591093975065,34.022396087646484,17.158069610595703,1,78.36026897056799,0.9931609996274684,0.122990053425909,1,0.0163839829712536,0.947217006085234,0.1920453479622891,2.874223988795203,0.3488225887618377,0,,,,8.0,-,1772605021070999040,-0.1663007986251159,-0.0137911866757463,[2721],-1,5,4,1,TSS 214552.63+160613.70
585,1,-,55,1,1,11,54.5387174323295,173.28301513391813,0.1289171204237753,0.138226441563808,55,173,606,424,54.56985572917743,173.21172526527116,54.5387174323295,173.28301513391813,327.38450359674454,15.980514865432207,0.0007290684856269,0.0007424052377311,71.79999413290354,-28.321835228797735,1340,1343,1341,4,59811.59200137868,59811.61283484231,59811.59894586702,0.0208334636263316,17.010775,-3.0768104,1,3.693838979770242,12.170860290527344,9.238189697265623,1,12.544413820608826,0.9772775150201268,0.2544746137367111,1,0.2676586560532677,0.8125866181387801,0.1857659005938459,2.737387018222909,0.8702032407346428,0,,,,0.0,-,1772751702794035200,-0.1383497437744836,0.0333191707368882,[3593],-1,4,1,1,TSS 214932.28+155849.85T59811
623,1,-,55,1,1,15,105.54342396113124,177.73420074546618,0.1322052831206751,0.1425827790827075,106,178,1681,429,105.68542397768522,178.03995285918032,105.54342396113124,177.73420074546618,321.4103095617219,14.085800331219769,0.0007671667782045,0.0007884682109522,65.91209904011205,-25.277097797046785,1628,1630,1628,3,59813.592008885134,59813.605897798494,59813.592008885134,0.0138889133595512,26.847485,-3.572259,1,4.606481341279802,12.007665634155272,7.142777919769287,1,12.006749108246458,0.9058956195954744,0.4565921492594066,0,0.1703888101370824,0.4143889540299115,0.3161150713192286,2.302229961534718,0.5292511484350382,0,,,,0.0,-,1771326396422048768,-0.0334465159282899,-0.1399617993274091,[5814],-1,3,1,1,TSS 212538.47+140508.88T59813
47,2,-,55,1,1,17,137.29491142791974,130.99414229400065,0.1163460841017699,0.1207777397026144,137,131,181,638,136.87728254813425,131.1207591785733,137.29491142791974,130.99414229400065,330.10843734578447,15.53293451396164,0.0006433680281744,0.0006486687530176,73.55070586369867,-30.50073302988511,444,450,444,7,59799.69597378344,59799.73764138405,59799.69597378344,0.0416676006061607,29.558094,-3.676691,1,4.739894578292269,11.013571739196776,3.982385635375977,1,16.71345036847292,0.9510507991661676,0.352523780235689,0,0.0,0.5304881874674316,0.5551129060912505,3.522212499572461,0.0,0,,,,9.0,-,1769529691343851136,-0.0549543813989998,0.1537926580996327,[1796],-1,5,4,1,TSS 220026.02+153158.56
